NGDC_Ship,NGDC_Cruise,NGDC_Sample,NGDC_Serial,NGDC_Comment,Location,Location Type,Expedition,Location ID,Site,Hole,SiteHole,Original ID,Hole ID,Platform,Date,Water Depth (m),Country,State_Province,County_Region,PI,Lat,Long,Elevation,Position,Storage Location Working,Storage Location Archive,Sample Type,Comment,mblf T,mblf B,Metadata Source,Google Earth Comment Field,serial,,
ice,MSPI,MSPI-JSM08-1A,888,Country: USA / State/Province: Wisconsin / County/Region: Grant,JS Lake-Mississippi River,"channel, river or stream",MSPI,JSM,1,A,1A,JS-9a,MSPI-JSM08-1A,ice,20080222,0.8,USA,Wisconsin,Grant,Colin Belby,42.69338,-90.94392,185,exact (read from GPS),University of Wisconsin- Madison,University of Wisconsin- Madison,core,"upper Mississippi River, Pool 11, JS Lake, near Cassville, WI",0,1.3,PI,LacCoreID: MSPI-JSM08-1A / FieldID: JS-9a / Date: 2008-02-22 / Water Depth: 0.75m / Sediment Depth: 0-1.3m / Position: exact (read from GPS) / Sample Type: core,2738,,1663
unknown,38,38-15781-1A,889,Country: USA / State/Province: Hawaii / County/Region: Oahu,Kaau Crater,lake,38,157,1,A,1A,,38-15781-1A,unknown,19811231,,USA,Hawaii,Oahu,"Sara Hotchkiss, James Juvik",21.32866,-157.773246,462,general (location within lake/site unknown or not digitized),,,core,,,,,LacCoreID: 38-15781-1A / FieldID:  / Date: 1981-12-31 / Water Depth: m / Sediment Depth: -m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,106,,5010
unknown,37,37-154xx-1A,890,Country: USA / State/Province: Hawaii / County/Region: Hawaii,Kannu O Kaleioohie,lake,37,154,1,A,1A,2,37-154xx-1A,unknown,,,USA,Hawaii,Hawaii,Sara Hotchkiss,20.085987,-155.717132,1676,general (location within lake/site unknown or not digitized),,,core,,,,,LacCoreID: 37-154xx-1A / FieldID: 2 / Date:  / Water Depth: m / Sediment Depth: -m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,100,,4969
unknown,37,37-154xx-2A,891,Country: USA / State/Province: Hawaii / County/Region: Hawaii,Kannu O Kaleioohie,lake,37,154,2,A,2A,3,37-154xx-2A,unknown,,,USA,Hawaii,Hawaii,Sara Hotchkiss,20.085987,-155.717132,1676,general (location within lake/site unknown or not digitized),,,core,,,,,LacCoreID: 37-154xx-2A / FieldID: 3 / Date:  / Water Depth: m / Sediment Depth: -m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,101,,4970
unknown,WRFP,WRFP-KEEL08-1A,892,Country: USA / State/Province: Arkansas / County/Region: White,Keeler Corner,lake,WRFP,KEEL,1,A,1A,,WRFP-KEEL08-1A,unknown,20081231,0,USA,Arkansas,White,"Ruchi Bhattacharya, Sonja Hausman",35.370507,-91.464572,61,general (location within lake/site unknown or not digitized),University of Arkansas,University of Arkansas,core,,8,11.06,PI,LacCoreID: WRFP-KEEL08-1A / FieldID:  / Date: 2008-12-31 / Water Depth: 0m / Sediment Depth: 8-11.06m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,3822,,4930
ice,MBH3,MBH3-KR09-2B,893,Country: Canada / State/Province: Manitoba / County/Region: ,Kettle River,"channel, river or stream",MBH3,KR,2,B,2B,KR-2-2,MBH3-KR09-2B,ice,20090331,6.32,Canada,Manitoba,,"Paul Glaser, Mark Shapley",56.37795654,-94.56774865,108,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,0.75,PI,LacCoreID: MBH3-KR09-2B / FieldID: KR-2-2 / Date: 2009-03-31 / Water Depth: 6.32m / Sediment Depth: 0-0.75m / Position: exact (read from GPS) / Sample Type: core,2469,,4666
ice,MBH3,MBH3-KR09-1A,894,Country: Canada / State/Province: Manitoba / County/Region: ,Kettle River,"channel, river or stream",MBH3,KR,1,A,1A,KR-1,MBH3-KR09-1A,ice,20090331,7.01,Canada,Manitoba,,"Paul Glaser, Mark Shapley",56.37922213,-94.56572765,108,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,1.23,PI,LacCoreID: MBH3-KR09-1A / FieldID: KR-1 / Date: 2009-03-31 / Water Depth: 7.01m / Sediment Depth: 0-1.23m / Position: exact (read from GPS) / Sample Type: core,2470,,4667
ice,MBH3,MBH3-KR09-3A,895,Country: Canada / State/Province: Manitoba / County/Region: ,Kettle River,"channel, river or stream",MBH3,KR,3,A,3A,KR-3,MBH3-KR09-3A,ice,20090331,4,Canada,Manitoba,,"Paul Glaser, Mark Shapley",56.37759764,-94.56912663,108,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,1.585,PI,LacCoreID: MBH3-KR09-3A / FieldID: KR-3 / Date: 2009-03-31 / Water Depth: 4m / Sediment Depth: 0-1.585m / Position: exact (read from GPS) / Sample Type: core,2471,,4668
ice,MBH3,MBH3-KR09-2A,896,Country: Canada / State/Province: Manitoba / County/Region: ,Kettle River,"channel, river or stream",MBH3,KR,2,A,2A,KR-2-1,MBH3-KR09-2A,ice,20090331,6.32,Canada,Manitoba,,"Paul Glaser, Mark Shapley",56.37795654,-94.56774865,108,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,0.27,PI,LacCoreID: MBH3-KR09-2A / FieldID: KR-2-1 / Date: 2009-03-31 / Water Depth: 6.32m / Sediment Depth: 0-0.27m / Position: exact (read from GPS) / Sample Type: core,2472,,4669
ice,MBH3,MBH3-KR09-4A,897,Country: Canada / State/Province: Manitoba / County/Region: ,Kettle River,"channel, river or stream",MBH3,KR,4,A,4A,KR-4,MBH3-KR09-4A,ice,20090331,2.63,Canada,Manitoba,,"Paul Glaser, Mark Shapley",56.37612373,-94.57198094,109,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,1.13,PI,LacCoreID: MBH3-KR09-4A / FieldID: KR-4 / Date: 2009-03-31 / Water Depth: 2.63m / Sediment Depth: 0-1.13m / Position: exact (read from GPS) / Sample Type: core,2473,,4670
ice,MBH3,MBH3-KR09-5A,898,Country: Canada / State/Province: Manitoba / County/Region: ,Kettle River,"channel, river or stream",MBH3,KR,5,A,5A,KR-5,MBH3-KR09-5A,ice,20090331,9.13,Canada,Manitoba,,"Paul Glaser, Mark Shapley",56.37962343,-94.56525826,108,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,1.205,PI,LacCoreID: MBH3-KR09-5A / FieldID: KR-5 / Date: 2009-03-31 / Water Depth: 9.13m / Sediment Depth: 0-1.205m / Position: exact (read from GPS) / Sample Type: core,2474,,4671
unknown,Uganda,Uganda-KIB02-1A,899,Country: Uganda / State/Province: Kasese / County/Region: ,Kibengo,lake,Uganda,KIB,1,A,1A,Kiben02-1P,Uganda-KIB02-1A,unknown,20021231,,Uganda,Kasese,,"James Russell, Andy Cohen",-0.081666667,30.17833333,914,general (location within lake/site unknown or not digitized),Brown U.,Brown U.,core,,,,,LacCoreID: Uganda-KIB02-1A / FieldID: Kiben02-1P / Date: 2002-12-31 / Water Depth: m / Sediment Depth: -m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,3619,,2741
unknown,Uganda,Uganda-KIB02-2A,900,Country: Uganda / State/Province: Kasese / County/Region: ,Kibengo,lake,Uganda,KIB,2,A,2A,Kiben02-2P,Uganda-KIB02-2A,unknown,20021231,,Uganda,Kasese,,"James Russell, Andy Cohen",-0.081666667,30.17833333,914,general (location within lake/site unknown or not digitized),Brown U.,Brown U.,core,,0,9.635,,LacCoreID: Uganda-KIB02-2A / FieldID: Kiben02-2P / Date: 2002-12-31 / Water Depth: m / Sediment Depth: 0-9.635m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,3620,,2742
unknown,WULE,WULE-KIB03-1A,901,Country: Uganda / State/Province: Kasese / County/Region: ,Kibengo,lake,WULE,KIB,1,A,1A,,WULE-KIB03-1A,unknown,20031231,,Uganda,Kasese,,James Russell,-0.081666667,30.17833333,914,general (location within lake/site unknown or not digitized),Brown U.,Brown U.,core,,0,4.325,Publication,LacCoreID: WULE-KIB03-1A / FieldID:  / Date: 2003-12-31 / Water Depth: m / Sediment Depth: 0-4.325m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,3847,,2729
unknown,FIN,FIN-KJK06-1A,902,Country: USA / State/Province: Alaska / County/Region: Lake and Peninsula,Kijik lake,lake,FIN,KJK,1,A,1A,Kijik 06 HC-5,FIN-KJK06-1A,unknown,20061231,84.12,USA,Alaska,Lake and Peninsula,Bruce Finney,60.3062,-154.3115333,114,general (location within lake/site unknown or not digitized),University of Idaho,University of Idaho,core,,0,4.49,PI,LacCoreID: FIN-KJK06-1A / FieldID: Kijik 06 HC-5 / Date: 2006-12-31 / Water Depth: 84.12m / Sediment Depth: 0-4.49m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1331,,1309
unknown,FIN,FIN-KJK06-1B,903,Country: USA / State/Province: Alaska / County/Region: Lake and Peninsula,Kijik lake,lake,FIN,KJK,1,B,1B,Kijik 06 HC-6,FIN-KJK06-1B,unknown,20061231,85.34,USA,Alaska,Lake and Peninsula,Bruce Finney,60.30636667,-154.3119,114,general (location within lake/site unknown or not digitized),University of Idaho,University of Idaho,core,,0,4.515,PI,LacCoreID: FIN-KJK06-1B / FieldID: Kijik 06 HC-6 / Date: 2006-12-31 / Water Depth: 85.34m / Sediment Depth: 0-4.515m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1332,,1310
ice,FAI,FAI-KILL09-1A,904,Country: USA / State/Province: Alaska / County/Region: Fairbanks North Star,Killarny Lake,lake,FAI,KILL,1,A,1A,,FAI-KILL09-1A,ice,20090301,2.2,USA,Alaska,Fairbanks North Star,Katey Walter,64.86986389,-147.9018583,163,exact (read from GPS),University of Alaska Fairbanks,LacCore_MRPH,core,,0,1.305,PI,LacCoreID: FAI-KILL09-1A / FieldID:  / Date: 2009-03-01 / Water Depth: 2.2m / Sediment Depth: 0-1.305m / Position: exact (read from GPS) / Sample Type: core,1289,,3342
unknown,UMB,UMB-KIM00-1A,905,Country: USA / State/Province: Minnesota / County/Region: Blue Earth,Kimble Pond,lake,UMB,KIM,1,A,1A,KIM SC,UMB-KIM00-1A,unknown,20000101,15.5,USA,Minnesota,Blue Earth,"Charles Umbanhowar, Phil Camill, Christoph Geiss",44.22,-93.84,311,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,extruded,0,0.8,PI,LacCoreID: UMB-KIM00-1A / FieldID: KIM SC / Date: 2000-01-01 / Water Depth: 15.5m / Sediment Depth: 0-0.8m / Position: exact (read from GPS) / Sample Type: core,3628,,1523
unknown,UMB,UMB-KIM00-1B,906,Country: USA / State/Province: Minnesota / County/Region: Blue Earth,Kimble Pond,lake,UMB,KIM,1,B,1B,KIM 00B ,UMB-KIM00-1B,unknown,20000101,15.5,USA,Minnesota,Blue Earth,"Charles Umbanhowar, Phil Camill, Christoph Geiss",44.22,-93.84,311,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0.7,18.5,PI,LacCoreID: UMB-KIM00-1B / FieldID: KIM 00B  / Date: 2000-01-01 / Water Depth: 15.5m / Sediment Depth: 0.7-18.5m / Position: exact (read from GPS) / Sample Type: core,3629,,1524
unknown,HERB,HERB-KIRC62-1A,907,Country: USA / State/Province: Minnesota / County/Region: Dakota,Kirchner Marsh,wetland,HERB,KIRC,1,A,1A,1,HERB-KIRC62-1A,unknown,19621231,,USA,Minnesota,Dakota,Herb Wright,44.7716,-93.11,299,general (location within lake/site unknown or not digitized),LacCore_Bell,LacCore_Bell,core,,,,Bell,LacCoreID: HERB-KIRC62-1A / FieldID: 1 / Date: 1962-12-31 / Water Depth: m / Sediment Depth: -m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1716,,2557
unknown,HERB,HERB-KIRC62-2A,908,Country: USA / State/Province: Minnesota / County/Region: Dakota,Kirchner Marsh,wetland,HERB,KIRC,2,A,2A,Kirchner marsh Core2,HERB-KIRC62-2A,unknown,19621231,,USA,Minnesota,Dakota,Herb Wright,44.7716,-93.11,299,general (location within lake/site unknown or not digitized),LacCore_Bell,LacCore_Bell,core,,,,Bell,LacCoreID: HERB-KIRC62-2A / FieldID: Kirchner marsh Core2 / Date: 1962-12-31 / Water Depth: m / Sediment Depth: -m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1717,,2558
unknown,HERB,HERB-KIRC62-3A,909,Country: USA / State/Province: Minnesota / County/Region: Dakota,Kirchner Marsh,wetland,HERB,KIRC,3,A,3A,marsh,HERB-KIRC62-3A,unknown,19621231,,USA,Minnesota,Dakota,Herb Wright,44.7716,-93.11,299,general (location within lake/site unknown or not digitized),,,core,,,,Bell,LacCoreID: HERB-KIRC62-3A / FieldID: marsh / Date: 1962-12-31 / Water Depth: m / Sediment Depth: -m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1718,,2559
unknown,Uganda,Uganda-KIT01-1A,910,Country: Uganda / State/Province: Kasese / County/Region: ,Kitagata,lake,Uganda,KIT,1,A,1A,KITA01-1P,Uganda-KIT01-1A,unknown,20011231,,Uganda,Kasese,,"James Russell, Andy Cohen",-0.0639,29.9754,918,general (location within lake/site unknown or not digitized),Brown U.,Brown U.,core,,0,1.63,,LacCoreID: Uganda-KIT01-1A / FieldID: KITA01-1P / Date: 2001-12-31 / Water Depth: m / Sediment Depth: 0-1.63m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,3621,,2743
unknown,WULE,WULE-KIT03-1A,911,Country: Uganda / State/Province: Kasese / County/Region: ,Kitagata,lake,WULE,KIT,1,A,1A,,WULE-KIT03-1A,unknown,20031231,,Uganda,Kasese,,James Russell,-0.0639,29.9754,918,general (location within lake/site unknown or not digitized),Brown U.,Brown U.,core,,0,1.685,,LacCoreID: WULE-KIT03-1A / FieldID:  / Date: 2003-12-31 / Water Depth: m / Sediment Depth: 0-1.685m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,3848,,2730
unknown,WULE,WULE-KIT03-2A,912,Country: Uganda / State/Province: Kasese / County/Region: ,Kitagata,lake,WULE,KIT,2,A,2A,,WULE-KIT03-2A,unknown,20031231,,Uganda,Kasese,,James Russell,-0.0639,29.9754,918,general (location within lake/site unknown or not digitized),Brown U.,Brown U.,core,,0,0.89,,LacCoreID: WULE-KIT03-2A / FieldID:  / Date: 2003-12-31 / Water Depth: m / Sediment Depth: 0-0.89m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,3849,,2731
unknown,43,43-167xx-1A,913,Country: USA / State/Province: Michigan / County/Region: Menominee,Kitchner Lake,lake,43,167,1,A,1A,,43-167xx-1A,unknown,,2,USA,Michigan,Menominee,"Margaret Davis, Kerry Woods",45.6667,-87.4549,237,approximate (location/coordinates identified on a map),LacCore_Bell,LacCore_Bell,core,,0,0.08,"Bell, Publication",LacCoreID: 43-167xx-1A / FieldID:  / Date:  / Water Depth: 2m / Sediment Depth: 0-0.08m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,126,,3827
unknown,43,43-168xx-1A,914,Country: USA / State/Province: Wisconsin / County/Region: Shawano,Kroening Lake,lake,43,168,1,A,1A,,43-168xx-1A,unknown,,4,USA,Wisconsin,Shawano,"Margaret Davis, Kerry Woods",44.805,-88.8705,289,approximate (location/coordinates identified on a map),LacCore_Bell,LacCore_Bell,core,,0,6.25,"Bell, Publication",LacCoreID: 43-168xx-1A / FieldID:  / Date:  / Water Depth: 4m / Sediment Depth: 0-6.25m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,127,,3837
unknown,ED06,ED06-KRON06-1A,915,Country: USA / State/Province: Minnesota / County/Region: Stearns,Krons Bay,lake,ED06,KRON,1,A,1A,,ED06-KRON06-1A,unknown,20061231,,USA,Minnesota,Stearns,Mark Edlund,45.4211,-94.5233,330,general (location within lake/site unknown or not digitized),SCWRS,SCWRS,core,,,,,LacCoreID: ED06-KRON06-1A / FieldID:  / Date: 2006-12-31 / Water Depth: m / Sediment Depth: -m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1122,,3994
unknown,SAUK,SAUK-KRON08-1A,916,Country: USA / State/Province: Minnesota / County/Region: Stearns,Krons Bay,lake,SAUK,KRON,1,A,1A,Krons Bay,SAUK-KRON08-1A,unknown,20081231,10.4,USA,Minnesota,Stearns,"Joy Ramstack, Mark Edlund",45.41958333,-94.52286111,330,exact (read from GPS),SCWRS,SCWRS,core,,,,,LacCoreID: SAUK-KRON08-1A / FieldID: Krons Bay / Date: 2008-12-31 / Water Depth: 10.4m / Sediment Depth: -m / Position: exact (read from GPS) / Sample Type: core,3189,,3098
unknown,PAL2,PAL2-ALB06-1A,917,Country: Spain / State/Province: Valencia / County/Region: ,La Albufera de Valencia,lake,PAL2,ALB,1,A,1A,,PAL2-ALB06-1A,unknown,20061231,,Spain,Valencia,,Javier Marco,39.3369,-0.3571,-3,general (location within lake/site unknown or not digitized),Consumed,LacCore_MRPH,core,,0,2.01,PI,LacCoreID: PAL2-ALB06-1A / FieldID:  / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-2.01m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,2956,,2903
unknown,PAL2,PAL2-ALB07-1B,918,Country: Spain / State/Province: Valencia / County/Region: ,La Albufera de Valencia,lake,PAL2,ALB,1,B,1B,,PAL2-ALB07-1B,unknown,20071231,,Spain,Valencia,,Javier Marco,39.3369,-0.3571,-3,general (location within lake/site unknown or not digitized),Consumed,LacCore_MRPH,core,,0,0.85,PI,LacCoreID: PAL2-ALB07-1B / FieldID:  / Date: 2007-12-31 / Water Depth: m / Sediment Depth: 0-0.85m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,2957,,2904
unknown,AHVC2,AHVC2-LZ09-1A,919,Country: Argentina / State/Province: Chubut / County/Region: ,La Zeta Lake,lake,AHVC2,LZ,1,A,1A,LZ09A,AHVC2-LZ09-1A,unknown,20090325,6.74,Argentina,Chubut,,"Virginia Iglesias, Cathy Whitlock",-42.88796944,-71.34805556,768,approximate (location/coordinates identified on a map),Montana State University,Montana State University,core,,0.11,6.33,PI,LacCoreID: AHVC2-LZ09-1A / FieldID: LZ09A / Date: 2009-03-25 / Water Depth: 6.74m / Sediment Depth: 0.11-6.33m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,252,,
unknown,AHVC2,AHVC2-LZ09-2A,920,Country: Argentina / State/Province: Chubut / County/Region: ,La Zeta Lake,lake,AHVC2,LZ,2,A,2A,MLZ09A,AHVC2-LZ09-2A,unknown,20090309,0,Argentina,Chubut,,"Virginia Iglesias, Cathy Whitlock",-42.88796944,-71.34812778,768,exact (read from GPS),Montana State University,Montana State University,core,mislabeled D-tube endcaps,0,4.42,PI,LacCoreID: AHVC2-LZ09-2A / FieldID: MLZ09A / Date: 2009-03-09 / Water Depth: 0m / Sediment Depth: 0-4.42m / Position: exact (read from GPS) / Sample Type: core,253,,
unknown,OJB09,OJB09-DY09-1A,921,Country: Canada / State/Province: Quebec / County/Region: ,Lac Douay,lake,OJB09,DY,1,A,1A,DY01,OJB09-DY09-1A,unknown,20090301,1,Canada,Quebec,,"Justin Stroup, Andy Breckenridge, Thomas Lowell",49.58458,-78.07866,284,exact (read from GPS),University of Cinncinnati,LacCore_MRPH,core,,1,3,PI,LacCoreID: OJB09-DY09-1A / FieldID: DY01 / Date: 2009-03-01 / Water Depth: 1m / Sediment Depth: 1-3m / Position: exact (read from GPS) / Sample Type: core,2884,,3213
unknown,OJB09,OJB09-DY09-1B,922,Country: Canada / State/Province: Quebec / County/Region: ,Lac Douay,lake,OJB09,DY,1,B,1B,DY02,OJB09-DY09-1B,unknown,20090301,1,Canada,Quebec,,"Justin Stroup, Andy Breckenridge, Thomas Lowell",49.58458,-78.07866,284,exact (read from GPS),University of Cinncinnati,LacCore_MRPH,core,,1,3,PI,LacCoreID: OJB09-DY09-1B / FieldID: DY02 / Date: 2009-03-01 / Water Depth: 1m / Sediment Depth: 1-3m / Position: exact (read from GPS) / Sample Type: core,2885,,3214
unknown,OJB09,OJB09-GU09-1A,923,Country: Canada / State/Province: Quebec / County/Region: ,Lac Gouin,lake,OJB09,GU,1,A,1A,GL01,OJB09-GU09-1A,unknown,20090301,3.8,Canada,Quebec,,"Justin Stroup, Andy Breckenridge, Thomas Lowell",49.82186,-77.59641,256,exact (read from GPS),University of Cinncinnati,LacCore_MRPH,core,,4,28.5,PI,LacCoreID: OJB09-GU09-1A / FieldID: GL01 / Date: 2009-03-01 / Water Depth: 3.8m / Sediment Depth: 4-28.5m / Position: exact (read from GPS) / Sample Type: core,2886,,3215
unknown,OJB09,OJB09-GU09-1B,924,Country: Canada / State/Province: Quebec / County/Region: ,Lac Gouin,lake,OJB09,GU,1,B,1B,GL02,OJB09-GU09-1B,unknown,20090301,3.8,Canada,Quebec,,"Justin Stroup, Andy Breckenridge, Thomas Lowell",49.82186,-77.59641,256,exact (read from GPS),University of Cinncinnati,LacCore_MRPH,core,,4.5,26,PI,LacCoreID: OJB09-GU09-1B / FieldID: GL02 / Date: 2009-03-01 / Water Depth: 3.8m / Sediment Depth: 4.5-26m / Position: exact (read from GPS) / Sample Type: core,2887,,3216
unknown,OJB09,OJB09-GU09-1C,925,Country: Canada / State/Province: Quebec / County/Region: ,Lac Gouin,lake,OJB09,GU,1,C,1C,GL03,OJB09-GU09-1C,unknown,20090301,3.8,Canada,Quebec,,"Justin Stroup, Andy Breckenridge, Thomas Lowell",49.82186,-77.59641,256,exact (read from GPS),University of Cinncinnati,LacCore_MRPH,core,,12.5,15,PI,LacCoreID: OJB09-GU09-1C / FieldID: GL03 / Date: 2009-03-01 / Water Depth: 3.8m / Sediment Depth: 12.5-15m / Position: exact (read from GPS) / Sample Type: core,2888,,3217
unknown,PEAT,PEAT-PRJ82-6A,926,Country: Canada / State/Province: Quebec / County/Region: ,Lac Parent,wetland,PEAT,PRJ,6,A,6A,8206,PEAT-PRJ82-6A,unknown,19821231,,Canada,Quebec,,"Paul Glaser, Eville Gorham, Joannes Janssens",48.7833,-77.1667,303,approximate (location/coordinates identified on a map),LacCore_Bell,LacCore_Bell,core,,,,"Bell, Publication",LacCoreID: PEAT-PRJ82-6A / FieldID: 8206 / Date: 1982-12-31 / Water Depth: m / Sediment Depth: -m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,2990,,4659
unknown,47,47-17692-1A,927,Country: Canada / State/Province: Quebec / County/Region: ,Lac Rond,lake,47,176,1,A,1A,,47-17692-1A,unknown,19921231,,Canada,Quebec,,,45.96517,-73.779423,213,general (location within lake/site unknown or not digitized),,,core,,,,,LacCoreID: 47-17692-1A / FieldID:  / Date: 1992-12-31 / Water Depth: m / Sediment Depth: -m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,146,,
unknown,SHANE,SHANE-14886-1A,928,Country: USA / State/Province: Ohio / County/Region: Definace,Ladd Lake,lake,SHANE,148,1,A,1A,1,SHANE-14886-1A,unknown,19861231,8.9,USA,Ohio,Definace,Linda Shane,41.4183,-84.7642,246,exact (read from GPS),LacCore_Bell,LacCore_Bell,core,,0,12.42,Bell,LacCoreID: SHANE-14886-1A / FieldID: 1 / Date: 1986-12-31 / Water Depth: 8.9m / Sediment Depth: 0-12.42m / Position: exact (read from GPS) / Sample Type: core,3229,,3675
unknown,ESP3,ESP3-CAI08-1A,929,Country: Spain / State/Province: País Vasco/ Euskadi / County/Region: ,Lago Caicedo de Yuso/Arreo,lake,ESP3,CAI,1,A,1A,,ESP3-CAI08-1A,unknown,20081231,21,Spain,País Vasco/ Euskadi,,Blas Valero-Garces,42.77891322,-2.991026892,650,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,0.44,PI,LacCoreID: ESP3-CAI08-1A / FieldID:  / Date: 2008-12-31 / Water Depth: 21m / Sediment Depth: 0-0.44m / Position: exact (read from GPS) / Sample Type: core,1219,,1167
unknown,ESP3,ESP3-CAI08-2A,930,Country: Spain / State/Province: País Vasco/ Euskadi / County/Region: ,Lago Caicedo de Yuso/Arreo,lake,ESP3,CAI,2,A,2A,,ESP3-CAI08-2A,unknown,20081231,,Spain,País Vasco/ Euskadi,,Blas Valero-Garces,42.77814776,-2.991027003,650,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,0.53,PI,LacCoreID: ESP3-CAI08-2A / FieldID:  / Date: 2008-12-31 / Water Depth: m / Sediment Depth: 0-0.53m / Position: exact (read from GPS) / Sample Type: core,1220,,1168
unknown,ESP3,ESP3-CAI08-3A,931,Country: Spain / State/Province: País Vasco/ Euskadi / County/Region: ,Lago Caicedo de Yuso/Arreo,lake,ESP3,CAI,3,A,3A,,ESP3-CAI08-3A,unknown,20081231,6,Spain,País Vasco/ Euskadi,,Blas Valero-Garces,42.77782356,-2.99102705,650,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,0.32,PI,LacCoreID: ESP3-CAI08-3A / FieldID:  / Date: 2008-12-31 / Water Depth: 6m / Sediment Depth: 0-0.32m / Position: exact (read from GPS) / Sample Type: core,1221,,1169
KKR II,ESP,ESP-CAI04-1A,932,Country: Spain / State/Province: País Vasco/ Euskadi / County/Region: ,Lago Caicedo de Yuso/Arreo,lake,ESP,CAI,1,A,1A,ESP-CAI04-1A,ESP-CAI04-1A,KKR II,20041231,24,Spain,País Vasco/ Euskadi,,Blas Valero-Garces,42.77881,-2.99042,650,exact (read from GPS),Instituto Pirenaico de Ecología,Instituto Pirenaico de Ecología,core,,0,6.73,PI,LacCoreID: ESP-CAI04-1A / FieldID: ESP-CAI04-1A / Date: 2004-12-31 / Water Depth: 24m / Sediment Depth: 0-6.73m / Position: exact (read from GPS) / Sample Type: core,1144,,1170
KKR II,ESP,ESP-CAI04-1B,933,Country: Spain / State/Province: País Vasco/ Euskadi / County/Region: ,Lago Caicedo de Yuso/Arreo,lake,ESP,CAI,1,B,1B,ESP-CAI04-1A,ESP-CAI04-1B,KKR II,20041231,24,Spain,País Vasco/ Euskadi,,Blas Valero-Garces,42.77881,-2.99042,650,exact (read from GPS),LacCore_Como,LacCore_Como,core,,0,,PI,LacCoreID: ESP-CAI04-1B / FieldID: ESP-CAI04-1A / Date: 2004-12-31 / Water Depth: 24m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: core,1145,,1171
KKR II,ESP,ESP-CAI04-1C,934,Country: Spain / State/Province: País Vasco/ Euskadi / County/Region: ,Lago Caicedo de Yuso/Arreo,lake,ESP,CAI,1,C,1C,ESP-CAI04-1B,ESP-CAI04-1C,KKR II,20041231,24,Spain,País Vasco/ Euskadi,,Blas Valero-Garces,42.77905,-2.99131,650,exact (read from GPS),Instituto Pirenaico de Ecología,LacCore_Como,core,,0,6.57,PI,LacCoreID: ESP-CAI04-1C / FieldID: ESP-CAI04-1B / Date: 2004-12-31 / Water Depth: 24m / Sediment Depth: 0-6.57m / Position: exact (read from GPS) / Sample Type: core,1146,,1172
KKR II,ESP,ESP-CAI04-1D,935,Country: Spain / State/Province: País Vasco/ Euskadi / County/Region: ,Lago Caicedo de Yuso/Arreo,lake,ESP,CAI,1,D,1D,ESP-CAI04-1B,ESP-CAI04-1D,KKR II,20041231,24,Spain,País Vasco/ Euskadi,,Blas Valero-Garces,42.77905,-2.99131,650,exact (read from GPS),LacCore_Como,LacCore_Como,core,,0,,PI,LacCoreID: ESP-CAI04-1D / FieldID: ESP-CAI04-1B / Date: 2004-12-31 / Water Depth: 24m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: core,1147,,1173
